Station Name,Measurement Timestamp,Air Temperature
Foster Weather Station,01/04/2016 02:00:00 PM,-1.39
63rd Street Weather Station,01/04/2016 03:00:00 PM,-0.6
Foster Weather Station,01/04/2016 03:00:00 PM,-1.28
Foster Weather Station,01/04/2016 04:00:00 PM,-1.56
Oak Street Weather Station,01/04/2016 04:00:00 PM,-0.4
63rd Street Weather Station,01/04/2016 04:00:00 PM,-0.8
63rd Street Weather Station,01/04/2016 05:00:00 PM,-0.7
Oak Street Weather Station,01/04/2016 06:00:00 PM,-0.8
Foster Weather Station,01/04/2016 06:00:00 PM,-1.67
63rd Street Weather Station,01/04/2016 06:00:00 PM,-0.9
Foster Weather Station,01/04/2016 07:00:00 PM,-1.89
Oak Street Weather Station,01/04/2016 07:00:00 PM,-0.9
63rd Street Weather Station,01/04/2016 07:00:00 PM,-1.0
63rd Street Weather Station,01/04/2016 08:00:00 PM,-1.4
Oak Street Weather Station,01/04/2016 08:00:00 PM,-0.9
Foster Weather Station,01/04/2016 08:00:00 PM,-2.06
Foster Weather Station,01/04/2016 09:00:00 PM,-2.17
Oak Street Weather Station,01/04/2016 09:00:00 PM,-1.5
63rd Street Weather Station,01/04/2016 09:00:00 PM,-1.5
63rd Street Weather Station,01/04/2016 10:00:00 PM,-1.8
Oak Street Weather Station,01/04/2016 10:00:00 PM,-1.6
Foster Weather Station,01/04/2016 10:00:00 PM,-2.17
Oak Street Weather Station,01/04/2016 11:00:00 PM,-1.6
63rd Street Weather Station,01/04/2016 11:00:00 PM,-1.8
Foster Weather Station,01/04/2016 11:00:00 PM,-2.28
Foster Weather Station,01/05/2016 12:00:00 AM,-2.5
Oak Street Weather Station,01/05/2016 12:00:00 AM,-1.8
63rd Street Weather Station,01/05/2016 12:00:00 AM,-3.4
Oak Street Weather Station,01/05/2016 01:00:00 AM,-2.8
63rd Street Weather Station,01/05/2016 01:00:00 AM,-4.3
Foster Weather Station,01/05/2016 01:00:00 AM,-3.39
Oak Street Weather Station,01/05/2016 02:00:00 AM,-3.2
63rd Street Weather Station,01/05/2016 02:00:00 AM,-4.7
Foster Weather Station,01/05/2016 02:00:00 AM,-4.06
63rd Street Weather Station,01/05/2016 03:00:00 AM,-4.9
Foster Weather Station,01/05/2016 03:00:00 AM,-4.5
Oak Street Weather Station,01/05/2016 03:00:00 AM,-3.7
Foster Weather Station,01/05/2016 04:00:00 AM,-4.78
63rd Street Weather Station,01/05/2016 04:00:00 AM,-5.1
Oak Street Weather Station,01/05/2016 04:00:00 AM,-3.6
Foster Weather Station,01/05/2016 05:00:00 AM,-5.39
63rd Street Weather Station,01/05/2016 05:00:00 AM,-5.4
Oak Street Weather Station,01/05/2016 05:00:00 AM,-3.7
Foster Weather Station,01/05/2016 06:00:00 AM,-5.5
63rd Street Weather Station,01/05/2016 06:00:00 AM,-5.5
Oak Street Weather Station,01/05/2016 06:00:00 AM,-3.8
Oak Street Weather Station,01/05/2016 08:00:00 AM,-3.7
63rd Street Weather Station,01/05/2016 08:00:00 AM,-5.2
Foster Weather Station,01/05/2016 08:00:00 AM,-5.28
63rd Street Weather Station,01/05/2016 09:00:00 AM,-3.9
Foster Weather Station,01/05/2016 09:00:00 AM,-4.39
Oak Street Weather Station,01/05/2016 09:00:00 AM,-3.1
Foster Weather Station,01/05/2016 10:00:00 AM,-2.78
63rd Street Weather Station,01/05/2016 10:00:00 AM,-2.2
Oak Street Weather Station,01/05/2016 10:00:00 AM,-1.6
63rd Street Weather Station,01/05/2016 11:00:00 AM,-0.6
Foster Weather Station,01/05/2016 11:00:00 AM,-1.39
Oak Street Weather Station,01/05/2016 11:00:00 AM,-0.4
63rd Street Weather Station,01/05/2016 12:00:00 PM,0.4
Foster Weather Station,01/05/2016 12:00:00 PM,-0.67
Foster Weather Station,01/05/2016 01:00:00 PM,0.5
63rd Street Weather Station,01/05/2016 01:00:00 PM,1.1
Oak Street Weather Station,01/05/2016 02:00:00 PM,1.6
63rd Street Weather Station,01/05/2016 02:00:00 PM,1.3
Foster Weather Station,01/05/2016 02:00:00 PM,0.56
Foster Weather Station,01/05/2016 03:00:00 PM,0.5
63rd Street Weather Station,01/05/2016 03:00:00 PM,1.2
Oak Street Weather Station,01/05/2016 03:00:00 PM,1.6
63rd Street Weather Station,01/05/2016 04:00:00 PM,1.3
Foster Weather Station,01/05/2016 04:00:00 PM,0.39
Foster Weather Station,01/05/2016 05:00:00 PM,0.17
63rd Street Weather Station,01/05/2016 05:00:00 PM,0.9
Oak Street Weather Station,01/05/2016 05:00:00 PM,1.2
Foster Weather Station,01/05/2016 06:00:00 PM,0.0
